"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Running","Run","","","","2020-01-15","","18.7900009155273","","","","","0.033650279045105","0.155000001192093","","","","65","77","","","0.066809267252861","0.02","2","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2020-01-15","","0","","","","","0.304447770118713","0","","","","142","173","","","0.744173385733908","18.13","1","0","2","3","2","3","7","","","","","","","","","","","","","","",""
"Treadmill Running","Run","","","","2020-01-15","","3868.48999023438","","","","","0.500223338603973","2.14800000190735","","73","","135","164","","","0.644400000572205","22.62","3","1","4","6","5","5","6","","","","","","","","","","","","","","",""
"Running","Run","","","","2020-01-16","","15.3500003814697","","","","","0.0336499996483326","0.127000004053116","","","","58","67","","","0.0690039740638287","0.02","2","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Treadmill Running","Run","","","","2020-01-16","","3673.669921875","","","","","0.500270843505859","2.03999996185303","","70","","133","171","","","0.611999988555908","20.4","3","3","3","7","3","3","7","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2020-01-16","","0","","","","","0.2161655575037","0","","","","126","146","","","0.634503599688264","9.29","1","3","4","3","2","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2020-01-17","","12.4799995422363","","","","","0.0335977785289288","0.103000000119209","","","","60","75","","","0.0576634049884934","0.01","2","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Yoga","Strength","","","","2020-01-17","","0","","","","","0.300071388483047","0","","","","69","84","","","0.528286753400282","9","18","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2020-01-17","","4601.72998046875","","","","","1.12546229362488","1.1360000371933","","38","","101","140","","","0.375195377457978","17.6","60","4","2","1","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2020-01-18","","23.4300003051758","","","","","0.0337744429707527","0.193000003695488","","","","65","80","","","0.100307168576093","0.03","2","0","0","0","0","0","0","","","","","","","","","","","","","","",""
